174	48	49	50	177	54	178	55	181	56	255	57	183	46	
111	171	112	113	114	180	115	117	118	182	186	119	109	172	
47	45	175	176	51	53	52	59	60	58	187	184	120	35	
110	108	133	107	7	179	116	185	130	122	123	121	98	161	
173	44	70	170	132	69	131	68	67	62	124	61	188	24	
168	105	71	106	6	10	5	11	4	189	125	76	87	150	
42	43	72	169	73	136	74	190	126	63	147	139	84	13	
167	104	134	135	8	9	137	12	3	145	82	65	83	128	
41	166	34	33	96	159	75	138	66	19	21	20	146	2	
97	103	160	158	95	140	77	14	129	144	22	81	0	64	
162	40	36	32	157	31	78	15	79	18	148	80	85	1	
99	102	37	165	94	29	154	28	255	25	23	151	88	127	
255	164	38	39	156	30	141	16	142	17	149	143	86	192	
100	101	163	92	93	155	91	27	153	26	90	152	89	191	
